date,AAPL,SPY
2023-04-13,163.04554748535156,396.8621826171875
2023-04-14,162.70086669921875,395.8928833007813
2023-04-17,162.72056579589844,397.3133850097656
2023-04-18,163.94174194335938,397.572509765625
2023-04-19,165.08413696289062,397.50531005859375
2023-04-20,164.11895751953125,395.3360900878906
2023-04-21,162.51376342773438,395.6432800292969
2023-04-24,162.81907653808594,396.0559692382813
2023-04-25,161.28273010253906,389.76910400390625
2023-04-26,161.2728729248047,388.1181335449219
2023-04-27,165.8522491455078,395.8448486328125
2023-04-28,167.10299682617188,399.2234497070313
2023-05-01,167.0143280029297,398.8202819824219
2023-05-02,165.98028564453125,394.3378601074219
2023-05-03,164.9068603515625,391.631103515625
2023-05-04,163.27203369140625,388.8572082519531
2023-05-05,170.9338836669922,396.0559692382813
2023-05-08,170.86495971679688,396.1615295410156
2023-05-09,169.1612548828125,394.42425537109375
2023-05-10,170.9240264892578,396.26715087890625
2023-05-11,171.11114501953125,395.5760803222656
2023-05-12,170.1841583251953,395.0577087402344
2023-05-15,169.69107055664062,396.4207458496094
2023-05-16,169.69107055664062,393.7716064453125
2023-05-17,170.30247497558594,398.5515747070313
2023-05-18,172.6298828125,402.3909301757813
2023-05-19,172.73834228515625,401.8053588867187
2023-05-22,171.79161071777344,401.9685668945313
2023-05-23,169.18812561035156,397.4573669433594
2023-05-24,169.46421813964844,394.5777587890625
2023-05-25,170.59835815429688,397.9948425292969
2023-05-26,173.00460815429688,403.1491088867187
2023-05-30,174.8487548828125,403.3027038574219
2023-05-31,174.79945373535156,401.0663146972656
2023-06-01,177.6001739501953,404.8768615722656
2023-06-02,178.4482879638672,410.7318420410156
2023-06-05,177.09722900390625,409.9447021484375
2023-06-06,176.73236083984375,410.83740234375
2023-06-07,175.361572265625,409.4167785644531
2023-06-08,178.07354736328125,411.8932189941406
2023-06-09,178.45816040039062,412.6322937011719
2023-06-12,181.24900817871097,416.3757019042969
2023-06-13,180.7756805419922,419.1206970214844
2023-06-14,181.4068145751953,419.619873046875
2023-06-15,183.43832397460935,424.82220458984375
2023-06-16,182.36341857910156,423.3750915527344
2023-06-20,182.45216369628903,421.1786193847656
2023-06-21,181.41668701171875,419.0205383300781
2023-06-22,184.4146423339844,420.53314208984375
2023-06-23,184.0990753173828,417.3538818359375
2023-06-26,182.7085723876953,415.6486511230469
2023-06-27,185.45999145507812,420.20562744140625
2023-06-28,186.6335296630859,420.41754150390625
2023-06-29,186.96885681152344,422.0744934082031
2023-06-30,191.2882843017578,427.0553283691406
2023-07-03,189.79916381835935,427.5466613769531
2023-07-05,188.6847991943359,426.9108581542969
2023-07-06,189.15814208984375,423.56781005859375
2023-07-07,188.04376220703125,422.4984436035156
2023-07-10,186.0023651123047,423.56781005859375
2023-07-11,185.479736328125,426.2653198242187
2023-07-12,187.1463928222656,429.6950378417969
2023-07-13,187.9056854248047,433.10546875
2023-07-14,188.0536346435547,432.8357238769531
2023-07-17,191.3080139160156,434.3385925292969
2023-07-18,191.05160522460935,437.5660095214844
2023-07-19,192.40264892578125,438.5390625
2023-07-20,190.4599151611328,435.6295471191406
2023-07-21,189.28634643554688,435.6295471191406
2023-07-24,190.0851593017578,437.57568359375
2023-07-25,190.9430999755859,438.7702941894531
2023-07-26,191.8109436035156,438.8377380371094
2023-07-27,190.5486602783203,435.9281921386719
2023-07-28,193.12257385253903,440.1961059570313
2023-07-31,193.73399353027344,441.03424072265625
2023-08-01,192.90560913085935,439.772216796875
2023-08-02,189.9175262451172,433.6546020507813
2023-08-03,188.52700805664065,432.4118041992187
2023-08-04,179.47389221191406,430.4561462402344
2023-08-07,176.37734985351562,434.2133483886719
2023-08-08,177.314208984375,432.32513427734375
2023-08-09,175.72647094726562,429.4349670410156
2023-08-10,175.50950622558594,429.5890502929687
2023-08-11,175.56874084472656,429.3385620117187
2023-08-14,177.2178955078125,431.70855712890625
2023-08-15,175.23301696777344,426.6795959472656
